Scaling Method,Mean Radius,Mean Viscosity,Mean Flow Rate
Original,0.00030943893401536493,0.011284654557588624,6.843401252992897e-09
Standardized,0.0028001280940691863,0.0037071095209087147,0.00019620156347784431
Normalized,0.008072336763119782,8.512715006142336e-05,0.526290468435216
