posterior_r,posterior_mu,posterior_Q,alert
0.00029310790773666104,0.010613225670935951,5.1293783380005555e-09,Normal
0.000281384786848943,0.008601484253503575,5.375650756865931e-09,Normal
0.0002508782669017401,0.005583878745887684,5.232607688923966e-09,Normal
0.000218935405002929,0.0032771396894907953,5.170958263935236e-09,Normal
0.0002169585796274331,0.003151463504870472,5.185576246716698e-09,Normal
0.00021544722357004162,0.003131178135777802,5.075254465601213e-09,Normal
0.00021841340969480855,0.0032744728701555293,5.125990407592018e-09,Normal
0.00021919067829201855,0.003221247931993613,5.2852576105054494e-09,Normal
0.00021909658072028962,0.0033069829211786993,5.139400213129619e-09,Normal
0.00021744248356733983,0.003032910509648141,5.436507529046846e-09,Normal
0.00021587010000435078,0.0031533087010659484,5.0793188049826285e-09,Normal
0.00022831297520310465,0.0038654787715383925,5.18466943750102e-09,Normal
0.0002495174662408979,0.005527466997991293,5.172251556950902e-09,Normal
0.0002445706499406954,0.005099716418487634,5.1745586593924e-09,Normal
0.00025922709900976144,0.00623282205539091,5.343660539092829e-09,Normal
0.0002619477465542176,0.006587956528491417,5.271205318376647e-09,Normal
0.0002629565910385228,0.0066396386055799,5.3112139081383495e-09,Normal
0.00026132371049329304,0.0066391665755280126,5.18088186553765e-09,Normal
0.00026076429923960377,0.006373551452717291,5.350729855827347e-09,Normal
0.0002457936652759836,0.004919725507959975,5.471971938911747e-09,Normal
0.0002423021668640157,0.005236032147086068,4.855443202307392e-09,Vasoconstriction
0.00024211425451798032,0.0052632189028268385,4.815395858239355e-09,Vasoconstriction
0.00024195214732399047,0.005272792677350054,4.793792354333116e-09,Vasoconstriction
0.00026731235254782206,0.0078076130300290935,4.823472675057386e-09,Vasoconstriction
0.0002971552007832305,0.010154911397442842,5.663164731770715e-09,Normal
0.00030361968804945853,0.011197290685712138,5.597688880304425e-09,Normal
0.00029348927846766,0.011012812015526315,4.969042677439221e-09,Vasoconstriction
0.0003017867111525927,0.01117894216804668,5.472701109812079e-09,Normal
0.0002955879529509201,0.011124260916802221,5.061482545865257e-09,Normal
0.00030263630256020216,0.011347235365807798,5.4525043016282844e-09,Normal
0.0003007280289614436,0.011437696114591455,5.274230043238097e-09,Normal
0.000302449960360197,0.011788651284371374,5.235425658584209e-09,Normal
0.0003091062189750839,0.012759804907708979,5.277022277916232e-09,Normal
0.0003069947080164275,0.012481430268104539,5.248814113571925e-09,Normal
0.00030828378736226004,0.012435341853484124,5.357312807027407e-09,Normal
0.00030727633487960033,0.012306033741260604,5.343186647849967e-09,Normal
0.00030357242610914715,0.012129333227126612,5.1643343179510136e-09,Normal
0.0003107100041731241,0.013424436217021107,5.120671099664199e-09,Normal
0.00026286521727111433,0.006876964456086196,5.120798706957871e-09,Normal
0.00018417599315688642,0.0016411545660464614,5.171119653919257e-09,Normal
0.0002473234744631253,0.005151300267244431,5.357306341903898e-09,Normal
0.0002268252182105206,0.0038121839329589707,5.12145655996475e-09,Normal
